timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-09 00:42:47 UTC,2025-07-09,00:42:47,468.38,0,Wednesday,1752021767
2025-07-09 02:43:58 UTC,2025-07-09,02:43:58,468.96,2,Wednesday,1752029038
2025-07-09 03:46:10 UTC,2025-07-09,03:46:10,469.0,3,Wednesday,1752032770
2025-07-09 04:23:29 UTC,2025-07-09,04:23:29,469.01,4,Wednesday,1752035009
2025-07-09 05:14:41 UTC,2025-07-09,05:14:41,469.03,5,Wednesday,1752038081
2025-07-09 06:00:49 UTC,2025-07-09,06:00:49,469.08,6,Wednesday,1752040849
2025-07-09 07:11:09 UTC,2025-07-09,07:11:09,469.12,7,Wednesday,1752045069
2025-07-09 08:12:36 UTC,2025-07-09,08:12:36,469.18,8,Wednesday,1752048756
2025-07-09 09:11:28 UTC,2025-07-09,09:11:28,469.23,9,Wednesday,1752052288
2025-07-09 10:01:09 UTC,2025-07-09,10:01:09,469.25,10,Wednesday,1752055269
2025-07-09 11:01:11 UTC,2025-07-09,11:01:11,469.29,11,Wednesday,1752058871
2025-07-09 12:16:05 UTC,2025-07-09,12:16:05,469.33,12,Wednesday,1752063365
